Property ID In AVL Packet,Property Name,Bytes,Type,Min value,Max value,Multiplier,Units,Description,Parameter Group
239,Ignition,1,Unsigned,0,1,-,-,"""0 : Ignition Off 1 : Ignition On""",Permanent I/O Elements
240,Movement,1,Unsigned,0,1,-,-,"""0 : Movement Off 1 : Movement On""",Permanent I/O elements
80,Data Mode,1,Unsigned,0,5,-,-,"""0 : Home On Stop 1 : Home On Moving 2 : Roaming On Stop 3 : Roaming On Moving 4 : Unknown On Stop 5 : Unknown On Moving""",Permanent I/O Elements
21,GSM Signal,1,Unsigned,0,5,-,-,"""Value in range 1-5""",Permanent I/O Elements
200,Sleep Mode,1,Unsigned,0,4,-,-,"""0 - No Sleep 1 : GPS Sleep 2 : Deep Sleep 3 : Online Sleep 4 - Ultra Sleep""",Permanent I/O Elements
69,GNSS Status,1,Unsigned,0,3,-,-,"""0 - GNSS OFF 1 : GNSS ON with fix 2 - GNSS ON without fix 3 - GNSS sleep""",Permanent I/O Elements
181,GNSS PDOP,2,Unsigned,0,500,0.1,,"""Coefficient, calculation formula""",Permanent I/O Elements
182,GNSS HDOP,2,Unsigned,0,500,0.1,,"""Coefficient, calculation formula""",Permanent I/O Elements
66,External Voltage,2,Unsigned,0,65535,0.001,V,"""Voltage""",Permanent I/O elements
24,Speed,2,Unsigned,0,350,-,km/h,"""GNSS Speed""",Permanent I/O elements
205,GSM Cell ID,2,Unsigned,0,65535,-,-,"""GSM base station ID""",Permanent I/O elements
206,GSM Area Code,2,Unsigned,0,65535,-,-,"""Location Area code (LAC), it depends on GSM operator. It provides unique number which assigned to a set of base GSM stations.""",Permanent I/O elements
67,Battery Voltage,2,Unsigned,0,65535,0.001,V,"""Voltage""",Permanent I/O elements
68,Battery Current,2,Unsigned,0,65535,0.001,A,"""Current""",Permanent I/O elements
241,Active GSM Operator,4,Unsigned,0,4294967295,-,-,"""Currently used GSM Operator code""",Permanent I/O elements
199,Trip Odometer,4,Unsigned,0,2147483647,-,m,"""Trip Odometer value""",Permanent I/O elements
16,Total Odometer,4,Unsigned,0,2147483647,-,-,"""Total Odometer value in meters""",Permanent I/O elements
1,Digital Input 1,1,Unsigned,0,1,-,-,"""Logic: 0/1""",Permanent I/O elements
9,Analog Input 1,2,Unsigned,0,65535,0.001,mV,"""Voltage""",Permanent I/O elements
179,Digital Output 1,1,Unsigned,0,1,-,-,"""Logic: 0/1""",Permanent I/O elements
12,Fuel Used GPS,4,Unsigned,0,4294967295,0.001,l,"""Fuel Used""",Permanent I/O elements
13,Fuel Rate GPS,2,Unsigned,0,32767,0.01,l/100km,"""Average Fuel Use""",Permanent I/O elements
17,Axis X,2,Signed,−8000,8000,-,mG,"""X axis value""",Permanent I/O elements
18,Axis Y,2,Signed,−8000,8000,-,mG,"""Y axis value""",Permanent I/O elements
19,Axis Z,2,Signed,−8000,8000,-,mG,"""Z axis value""",Permanent I/O elements
11,ICCID1,8,Unsigned,0,0xffffffffffffffff,-,-,"""Value of SIM ICCID, MSB""",Permanent I/O elements
10,SD Status,1,Unsigned,0,1,-,-,"""0 - not present 1 - present""",Permanent I/O elements
2,Digital Input 2,1,Unsigned,0,1,-,-,"""Logic: 0/1""",Permanent I/O elements
3,Digital Input 3,1,Unsigned,0,1,-,-,"""Logic: 0/1""",Permanent I/O elements
6,Analog Input 2,2,Unsigned,0,65535,0.001,mV,"""Voltage""",Permanent I/O elements
180,Digital Output 2,1,Unsigned,0,1,-,-,"""Logic 0/1""",Permanent I/O elements
72,Dallas Temperature 1,4,Signed,−550,1150,0.1,°C,"""Degrees ( °C ), -55 - +115,if 850 : Sensor not ready if 2000 : Value read error if 3000 : Not connected if 4000 : ID failed if 5000 : same as 850""",Permanent I/O elements
73,Dallas Temperature 2,4,Signed,−550,1150,0.1,°C,"""Degrees ( °C ), -55 - +115,if 850 : Sensor not ready if 2000 : Value read error if 3000 : Not connected if 4000 : ID failed if 5000 : same as 850""",Permanent I/O elements
74,Dallas Temperature 3,4,Signed,−550,1150,0.1,°C,"""Degrees ( °C ), -55 - +115,if 850 : Sensor not ready if 2000 : Value read error if 3000 : Not connected if 4000 : ID failed if 5000 : same as 850""",Permanent I/O elements
75,Dallas Temperature 4,4,Signed,−550,1150,0.1,°C,"""Degrees ( °C ), -55 - +115,if 850 : Sensor not ready if 2000 : Value read error if 3000 : Not connected if 4000 : ID failed if 5000 : same as 850""",Permanent I/O elements
76,Dallas Temperature ID 1,8,Unsigned,0,0xffffffffffffffff,-,-,"""Dallas sensor ID""",Permanent I/O elements
77,Dallas Temperature ID 2,8,Unsigned,0,0xffffffffffffffff,-,-,"""Dallas sensor ID""",Permanent I/O elements
79,Dallas Temperature ID 3,8,Unsigned,0,0xffffffffffffffff,-,-,"""Dallas sensor ID""",Permanent I/O elements
71,Dallas Temperature ID 4,8,Unsigned,0,0xffffffffffffffff,-,-,"""Dallas sensor ID""",Permanent I/O elements
78,iButton,8,Unsigned,0,0xffffffffffffffff,-,-,"""iButton ID""",Permanent I/O elements
207,RFID,8,Unsigned,0,0xffffffffffffffff,-,-,"""RFID ID""",Permanent I/O elements
201,LLS 1 Fuel Level,2,Signed,−4,32767,-,kvants or ltr,"""Fuel level measured by LLS sensor via RS232/RS485""",Permanent I/O elements
202,LLS 1 Temperature,1,Signed,−128,127,-,°C,"""Fuel temperature measured by LLS via RS232/RS485""",Permanent I/O elements
203,LLS 2 Fuel Level,2,Signed,−4,32767,-,kvants or ltr,"""Fuel level measured by LLS sensor via RS485""",Permanent I/O elements
204,LLS 2 Temperature,1,Signed,−128,127,-,°C,"""Fuel temperature measured by LLS via RS485""",Permanent I/O elements
210,LLS 3 Fuel Level,2,Unsigned,−4,32767,-,kvants or ltr,"""Fuel level measured by LLS sensor via RS485""",Permanent I/O elements
211,LLS 3 Temperature,1,Signed,−128,127,-,°C,"""Fuel temperature measured by LLS via RS485""",Permanent I/O elements
212,LLS 4 Fuel Level,2,Signed,−4,32767,-,kvants or ltr,"""Fuel level measured by LLS sensor via RS485""",Permanent I/O elements
213,LLS 4 Temperature,1,Signed,−128,127,-,°C,"""Fuel temperature measured by LLS via RS485""",Permanent I/O elements
214,LLS 5 Fuel Level,2,Signed,−4,32767,-,kvants or ltr,"""Fuel level measured by LLS sensor via RS485""",Permanent I/O elements
215,LLS 5 Temperature,1,Signed,−128,127,-,°C,"""Fuel temperature measured by LLS via RS485""",Permanent I/O elements
15,Eco Score,2,Unsigned,0,65535,0.01,-,"""Average amount of events on some distance""",Permanent I/O elements
113,Battery Level,1,Unsigned,0,100,-,%,"""Battery capacity level""",Permanent I/O elements
238,User ID,8,Unsigned,0,0xffffffffffffffff,-,-,"""MAC address of NMEA receiver device connected via Bluetooth""",Permanent I/O elements
237,Network Type,1,Unsigned,0,1,-,-,"""0 - 3G1 - GSM 2 - 4G 3 - LTE CAT M1 4 - LTE CAT NB1 99 - Unknown""",Permanent I/O elements
4,Pulse Counter Din1,4,Unsigned,0,4294967295,-,-,"""Counts pulses, count is reset when records are saved""",Permanent I/O elements
5,Pulse Counter Din2,4,Unsigned,0,4294967295,-,-,"""Counts pulses, count is reset when records are saved""",Permanent I/O elements
263,BT Status,1,Unsigned,0,4,-,-,"""0 - BT is disabled1 - BT Enabled, not device connected 2 - Device connected, BTv3 Only 3 - Device connected, BLE only 4 - Device connected, BLE + BT""",Permanent I/O elements
264,Barcode ID,Variable,ASCII,0,32,-,-,"""Barcode ID""",Permanent I/O elements
269,Escort LLS Temperature #1,2,Signed,−128,127,-,°C,"""Fuel temperature""",Permanent I/O elements
270,Escort LLS Fuel level #1,2,Unsigned,0,65535,-,-,"""Fuel Level""",Permanent I/O elements
271,Escort LLS Battery Voltage #1,2,Unsigned,0,65535,0.01,V,"""Battery Voltage""",Permanent I/O elements
272,Escort LLS Temperature #2,2,Signed,−128,127,-,°C,"""Fuel temperature""",Permanent I/O elements
273,Escort LLS Fuel level #2,2,Unsigned,0,65535,-,-,"""Fuel Level""",Permanent I/O elements
274,Escort LLS Battery Voltage #2,2,Unsigned,0,65535,0.01,V,"""Battery Voltage""",Permanent I/O elements
275,Escort LLS Temperature #3,2,Signed,−128,127,-,°C,"""Fuel temperature""",Permanent I/O elements
276,Escort LLS Fuel level #3,2,Unsigned,0,65535,-,-,"""Fuel Level""",Permanent I/O elements
277,Escort LLS Battery Voltage #3,2,Unsigned,0,65535,0.01,V,"""Battery Voltage""",Permanent I/O elements
278,Escort LLS Temperature #4,2,Signed,−128,127,-,°C,"""Fuel temperature""",Permanent I/O elements
279,Escort LLS Fuel level #4,2,Unsigned,0,65535,-,-,"""Fuel Level""",Permanent I/O elements
280,Escort LLS Battery Voltage #4,2,Unsigned,0,65535,0.01,V,"""Battery Voltage""",Permanent I/O elements
303,Instant Movement,1,Unsigned,0,1,-,-,"""Logic: 0/1 returns movement value""",Permanent I/O elements
327,UL202-02 Sensor Fuel level,2,Signed,−150,32767,0.1,mm,"""UL202-02 Sensor Fuel level""",Permanent I/O elements
483,UL202-02 Sensor Status,1,Unsigned,0,255,-,-,"""UL202-02 sensor status codes""",Permanent I/O elements
